,2016/06/30 19:00:01,2016/06/30 19:01:01,2016/06/30 19:02:01,2016/06/30 20:00:01,2016/06/30 20:01:01,2016/06/30 20:02:01,2016/06/30 21:00:01,2016/06/30 21:01:01,2016/06/30 21:02:01
TARGET
Dizzy,1100,1100,1100,1120,1121,1121,1140,1141,1141
,20,20,20,20,20,20,20,20,20
,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ALL
87位,581,581,581,592,593,593,604,604,605,地獄の3丁目
88位,580,580,581,592,592,593,603,604,604,V.I.P.
89位,580,580,580,591,591,591,603,604,604,すたんどあっぷ
90位,579,579,579,591,591,591,602,603,603,怪盗スケルトン
91位,579,579,579,590,591,591,602,602,602,陽だまりのねこ
92位,578,579,579,590,590,590,601,601,601,CMB
93位,577,578,578,589,589,589,599,600,600,いえろ～こんび♪
94位,573,574,574,584,584,584,599,599,599,おこたでアイス
95位,571,571,571,583,583,583,596,596,596,Agile
96位,569,570,570,579,579,579,593,594,594,ぷよりすと♪
97位,567,567,567,579,579,579,592,592,592,アンシェル
98位,565,565,565,578,578,578,590,590,591,運命石の扉
99位,562,563,563,573,573,573,585,585,586,ぷよよん同盟
100位,561,562,562,573,573,573,585,585,585,プヨクエ海賊団
101位,560,560,560,572,572,572,584,584,584,しーこ
102位,559,559,559,571,571,571,584,584,584,風来のぷよ使い
103位,559,559,559,570,571,571,583,583,583,佐久間上水
104位,559,559,559,570,570,570,582,583,583,セカハナの卵
105位,558,559,559,570,570,570,582,582,582,ジュビレーション
106位,558,559,559,569,569,569,580,580,580,レベルアーップ！
107位,557,558,558,566,566,566,579,579,579,おいしいみかん
108位,552,552,552,564,564,564,579,579,579,2chスレギルド
109位,551,551,552,562,562,562,575,576,576,早起は三文のとく
110位,550,551,551,562,562,562,575,575,575,パーミテーション
111位,550,551,551,561,561,561,574,575,575,あるぱっか牧場
112位,550,550,550,561,561,561,569,569,569,宮崎藩
113位,549,549,549,560,560,560,569,569,569,ぷよよよよよん
114位,545,545,545,557,557,557,569,569,569,進撃の無課金兵団
115位,544,544,544,556,556,556,569,569,569,JINN’
116位,542,543,543,556,556,556,568,568,568,Tぷよ軍団
117位,542,542,542,555,555,555,565,565,565,にくきゅう
118位,539,539,539,552,553,553,564,564,564,SPIRAL★彡
119位,539,539,539,552,552,552,564,564,564,全開タコ殴り
120位,538,538,538,551,551,551,564,564,564,アクアベール
121位,537,537,537,550,550,550,562,562,562,猫好き仙人界
122位,535,535,536,549,550,550,562,562,562,☆りぼーん☆
123位,534,535,535,546,546,546,559,559,559,ももぐみ
124位,534,534,534,546,546,546,559,559,559,みなみけ
125位,534,534,534,545,546,546,559,559,559,楽しく遊ぶ団
126位,533,534,534,545,545,545,559,559,559,あわわっ子
127位,533,533,533,544,544,544,556,556,557,will
128位,533,533,533,544,544,544,556,556,556,Promis
129位,532,532,532,542,543,543,555,555,555,かーくんギルド
130位,531,531,532,541,542,542,554,554,554,まったりにゃーん
131位,531,531,531,541,541,541,554,554,554,いちにさん
132位,530,530,530,540,540,540,553,553,554,シルバーシープ
133位,530,530,530,539,539,539,552,552,552,上弦の月
134位,529,529,529,539,539,539,551,551,551,ΑLL_FREE
135位,529,529,529,539,539,539,551,551,551,にゃまにゃま
136位,528,528,528,538,538,539,549,549,549,☆ぷよザイル☆
137位,527,527,527,538,538,539,549,549,549,たけのこ派！
138位,526,526,526,538,538,538,549,549,549,LVE
139位,526,526,526,536,536,537,549,549,549,COLORS＊*
140位,525,526,526,536,536,537,549,549,549,じゅげむ♪♪
141位,525,525,525,536,536,536,549,549,549,ぷよっとパニック
142位,525,525,525,535,535,536,548,548,549,TEREON's
143位,525,525,525,534,535,535,548,548,549,スナ
144位,524,524,525,534,534,535,547,547,548,絆KIZUNA
145位,524,524,524,534,534,534,547,547,547,まったり勢。
146位,524,524,524,534,534,534,546,546,547,ぼっち魔導師っ！
147位,524,524,524,534,534,534,545,545,545,JanneABC
148位,523,523,524,533,534,534,544,544,544,☆月のうさぎ☆
149位,522,522,522,533,533,534,544,544,544,北の大地☆人情派
150位,521,521,521,532,532,532,541,541,541,月蝕雑技団
151位,521,521,521,532,532,532,541,541,541,ひろす
152位,520,521,521,531,532,532,541,541,541,でぃあれすと
153位,520,520,520,531,531,531,540,540,540,チームやどかり
154位,519,519,520,530,530,531,540,540,540,ぷよりんず
155位,519,519,519,529,529,529,539,539,539,クンパルシータ
156位,517,517,517,529,529,529,539,539,539,Rash☆TM
157位,516,517,517,529,529,529,539,539,539,ナノクローム
158位,513,513,513,525,525,526,538,538,539,チームハマー
159位,511,511,512,524,525,525,537,537,537,もんげ～_＞ω＜
160位,511,511,512,524,525,525,536,537,537,輝きみーつぉー
161位,510,511,511,524,524,524,536,536,536,しろくまっ☆
162位,510,510,510,522,522,522,535,535,535,レプレ
163位,509,509,509,521,521,522,533,533,533,お腹@ばよ～支店
164位,509,509,509,520,520,520,531,531,532,†魔導学校†
165位,509,509,509,520,520,520,531,531,531,Blackチョコ
166位,508,508,508,519,519,520,531,531,531,連鎖反応☆NEO
167位,507,507,507,519,519,519,530,530,531,チビコロ☆
168位,506,507,507,519,519,519,529,529,529,こでまりテラス
169位,506,506,506,517,517,517,529,529,529,全力マッタリーナ
