31位,"",ParU ,78381個
32位,"",すたんどＵＰあき,77334個
33位,"",とら×,76349個
34位,"",まゆ✿clair,75283個
35位,"",馬券師池田,74843個
36位,"",セバスチャン,74580個
37位,"",κυυ✟,73072個
38位,"",❀るのたん☔,72875個
39位,"",すず❂☪,72725個
40位,"",うちゃ,72549個
41位,"",新茶✧ ×,72526個
42位,"",キヨリーヌ,70965個
43位,"",のぞみ ○,69964個
44位,"",ごろちゃん,69086個
45位,"",@てんちゃღ☄,68759個
46位,"",ルナちょむ×,68530個
47位,"",ぴろし✧,68357個
48位,"",マツ✧ ,68326個
49位,"",祐一,66132個
50位,"",はるくん♪,65985個
51位,"",ちび闇✧,65655個
52位,"",ach,64571個
53位,"",シェリー,64475個
54位,"",七面もぐ。,63367個
55位,"",ひろちゃん☆彡.,61344個
56位,"",なみ❁ゆのてぃん,61325個
57位,"",桜エビ,61195個
58位,"",しま✩,61167個
59位,"",イカ,60011個
60位,"",しょこた,59969個
