1位,"",☔️ハーピー狂,405297個
2位,"",幸喜___,330961個
3位,"",EL☪,322434個
4位,"",Lipton募集,272581個
5位,"",ま✿,267253個
6位,"",むぅちゃん,247226個
7位,"",栄枯盛衰❂☪,245985個
8位,"",te✿chi,235522個
9位,"",let'sぷよ募,207814個
10位,"",リプトン募集中,205952個
11位,"",❀おしよ✙ᐝ_,201403個
12位,"",️絶望えり,199712個
13位,"",ゆいたん,199198個
14位,"",早乙女@募集中♪,197016個
15位,"",白キノコマン,195293個
16位,"",Wみーちゃん✿,188274個
17位,"",交戦中㌔,187972個
18位,"",勇✿くれーる,187285個
19位,"",キヨねこらん募集,183948個
20位,"",とら×,181646個
21位,"",ゴーストライター,180607個
22位,"",ゆき♡エーミール,180224個
23位,"",ポンちゃん☪,180069個
24位,"",すず❂☪,178781個
25位,"",馬券師池田,178622個
26位,"",ほしみ★祝SSS,177116個
27位,"",すたんどＵＰあき,173701個
28位,"",うちゃ,173021個
29位,"",リリス＊BT中,170705個
30位,"",ParU_,168336個
