1位,"",☔️ハーピー狂,433012個
2位,"",幸喜___,348570個
3位,"",白キノコマン,209367個
4位,"",️絶望えり,204937個
5位,"",ゴーストライター,182532個
6位,"",ルナちょむ,172003個
7位,"",るるののஐ☔,153126個
8位,"",チェルオ,124648個
9位,"",TAKA,108101個
10位,"",リーク✨,103509個
11位,"",ばらっち(´ε｀,83508個
12位,"",クオン,70159個
13位,"",ケチータ,69641個
14位,"",アオ,54386個
15位,"",mchiba×,52609個
16位,"",あいね,42762個
17位,"",☆×8,35992個
18位,"",COCO,35025個
19位,"",あくまーもん☔,28720個
20位,"",一十三eri,28149個
21位,"",ペロシ,16745個
22位,"",聖夜eri☔️,15547個
23位,"",coa,15098個
24位,"",allen,14323個
25位,"",chi-,13458個
26位,"",ロン,13350個
27位,"",☂けん☃_,11655個
28位,"",ぽむ,9609個
29位,"",へまち,8166個
30位,"",さのば_,7968個
