1位,"",栄枯盛衰❂☪,11096個
2位,"",ま✿,9514個
3位,"",Mumin谷口♪,8904個
4位,"",幸喜   ,8532個
5位,"",なおたん❂☪,7938個
6位,"",ほしみ★祝SSS,7306個
7位,"",❀おしよ✙ᐝ ,7100個
8位,"",ParU ,7005個
9位,"",IRI☆彡,6650個
10位,"",ゆいたん,6468個
11位,"",じゅにあ,6347個
12位,"",te✿chi,6190個
13位,"",すたんどＵＰあき,6186個
14位,"",ムー★,6006個
15位,"",リンク  ,5964個
16位,"",ACE❂☪ ,5482個
17位,"",むぅちゃん,5390個
18位,"",ゆきりん♡,5212個
19位,"",おむぅ✩１時間,5198個
20位,"",ゴリ男　,5068個
21位,"",はるくん♪,5046個
22位,"",祐一,5024個
23位,"",すら,5004個
24位,"",エレーヌ,4917個
25位,"",ks.れっぷよ募,4821個
26位,"",リリス＊BT待ち,4738個
27位,"",翠姫@JINN,4638個
28位,"",✿LUNA✿,4552個
29位,"",折鶴,4505個
30位,"",ろんきち,4497個
