1位,"",☔️ハーピー狂,357462個
2位,"",幸喜   ,299748個
3位,"",EL☪,278178個
4位,"",ま✿,246426個
5位,"",Lipton募集,240834個
6位,"",むぅちゃん,225771個
7位,"",栄枯盛衰❂☪,217805個
8位,"",te✿chi,208547個
9位,"",️絶望えり,199712個
10位,"",❀おしよ✙ᐝ ,192443個
11位,"",let'sぷよ募,187659個
12位,"",リプトン募集中,183687個
13位,"",ゴーストライター,179801個
14位,"",馬券師池田,178622個
15位,"",ギルラン【変態】,176605個
16位,"",ゆいたん,175103個
17位,"",早乙女@募集中♪,170061個
18位,"",勇✿くれーる,168927個
19位,"",ゆき♡エーミール,163320個
20位,"",白キノコマン,162478個
21位,"",キヨねこらん募集,160993個
22位,"",ポンちゃん☪,160120個
23位,"",ほしみ★祝SSS,159141個
24位,"",Wみーちゃん✿,157159個
25位,"",ゴリ男　バレー×,156236個
26位,"",とら×,155578個
27位,"",すず❂☪,152820個
28位,"",すたんどＵＰあき,152406個
29位,"",リリス＊BT中,151870個
30位,"",なおたん❂☪,151401個
