182位,"",ダムダムブルー,517
183位,"",aLLLight,517
184位,"",エランド,515
185位,"",J&G,515
186位,"",★home★,515
187位,"",月の光　∮,514
188位,"",Liberty☆,514
189位,"",Ragnark,514
190位,"",ルーエンハイム,514
191位,"",わんうぇいあっぷ,512
192位,"",猫娘。亭,512
193位,"",Phoenix☆,512
194位,"",かーにばる☆彡,510
195位,"",WeLOVEぷよ,509
196位,"",∞ぷるんちょ∞,509
197位,"",Gunners!,507
198位,"",Pu---Yo,506
199位,"",Clock,506
200位,"",～のんびり隠居～,504
201位,"",_☆きずな☆,503
202位,"",にわかあめ,503
203位,"",水守革命,502
204位,"",自由空間五色の館,502
205位,"",あおいの御紋,502
206位,"",脳みそコネコネ,501
207位,"",ぷ(♪-∀-)よ,500
208位,"",のんびり☆きまま,499
209位,"",無課金修行部,499
210位,"",ぷよります会,499
211位,"",ガンバギルイベ,499
212位,"",ぷにっぷに～！,499
213位,"",ゼロ鎮魂歌,499
214位,"",毎度おおきに！,498
215位,"",ぬゅるす,498
216位,"",コンパイル懐古会,497
217位,"",ピタゴラスイッチ,495
218位,"",のんびり仲良く,494
219位,"",ArcadiA,494
220位,"",P-STYLE,493
221位,"",比翼の不死鳥,493
222位,"",MYM318☆彡,493
223位,"",goro's,491
224位,"",カラマギア,491
225位,"",bookworm,491
226位,"",めろんぱんず,491
227位,"",melody,490
228位,"",レッツモーフィン,490
229位,"",カラフル,490
230位,"",らららコッペパン,489
231位,"",働くおじさん,489
232位,"",チームお代官様,489
233位,"",のんびりギル,489
234位,"",気ままに組,489
235位,"",花橘,489
236位,"",凱歌ノ記憶,489
237位,"",きずなタワー,488
238位,"",ギルドチャンプ,488
239位,"",アシュブロ☆,487
240位,"",ぷよぷよTime,487
241位,"",モヤ2さまぁ～ず,486
242位,"",黝ぷよ騎士団,485
243位,"",ウォッカコーヒー,484
244位,"",アオハライド☆彡,484
245位,"",モモレオ,484
246位,"",マリンバトル,484
247位,"",グラン・シャリオ,483
248位,"",KMコミュニティ,483
249位,"",☆Ｓロード☆,483
250位,"",☆ＳＴＹ☆,482
251位,"",ぷよぷよ艦隊,482
252位,"",ふぁくとり～♪,481
253位,"",_Nadja,481
254位,"",会話なしギルド,481
255位,"",しろぷよ♪,480
256位,"",ふぇんりる,480
257位,"",蒼天ぷよ,480
258位,"",虹-niji-,480
259位,"",おのゴリちゃん,479
260位,"",asoVIVA,479
261位,"",みすてりあす。,479
262位,"",Fate#Ω#,478
263位,"",美味しい紅茶の泉,478
264位,"",鎌倉幕府,478
265位,"",参加は自由でした,477
266位,"",ドリームポポ♪,476
267位,"",ゴルゴ11,476
268位,"",楽ぷよＣＬＵＢ,476
269位,"",ＬＥ－ＣＩＥＬ,475
270位,"",21時投入ぽすて,475
271位,"",_,475
272位,"",きなこもち＊,474
273位,"",元気ハツラツ！,474
274位,"",ポレポレ村熊番地,474
275位,"",あっき祝800,474
276位,"",みるふぃーゆ♪,472
277位,"",ここ(*≧艸≦),471
278位,"",tiipo,470
279位,"",HOKKAIDO,470
280位,"",黄色鳥OP大作戦,469
281位,"",藤原豆腐店,469
282位,"",ぷーぷよギルド,469
283位,"",超初心者ポコリン,469
284位,"",(_ω)о〇,469
285位,"",青空団♪,469
286位,"",UNICORN,469
287位,"",新生ぴょんすの会,469
288位,"",★リトルスター★,469
289位,"",_ほうきぼし,469
290位,"",ミカン,469
291位,"",おいもいも,468
292位,"",既製ぷよ@隠居,468
293位,"",Sirius,467
294位,"",ゆるくやろう,467
295位,"",オールフォーワン,467
296位,"",七色きかちゅう,467
297位,"",ねこのうにメロン,466
298位,"",ブラザーフット,465
299位,"",寝ながら進む。,465
300位,"",ぷよ☆黄色連合♪,465
301位,"",赤い彗星のニャア,465
302位,"",まろん茶,464
303位,"",＊みるふぃーゆ＊,463
304位,"",ニャンコさん,463
305位,"",碧い鳥,462
306位,"",まちょー,461
307位,"",ラフィーナ連邦,460
308位,"",新生メタファリカ,459
309位,"",錬金術協会,459
310位,"",こんぱいるクラブ,459
311位,"",毎日猫をもふり隊,459
312位,"",猪突猛進,459
313位,"",ex-☆,459
314位,"",まいぺぃす,459
315位,"",ピルクル500,459
316位,"",甘いのが好き,459
317位,"",ちーむ★ぷよ,458
318位,"",文化の森,458
319位,"",毒ぽてと,458
320位,"",魔法細工,458
321位,"",水パ,457
322位,"",HKL,455
323位,"",ぷよぷよクエスド,454
324位,"",ブレイブハウス,453
325位,"",オワニモ時空転移,453
326位,"",足元がお留守です,453
327位,"",ルイーダの酒場,451
328位,"",秘密のお菓子工房,451
329位,"",真☆碧茶,451
330位,"",joyfull☆,451
