,2015/11/12 11:16:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1005,Dizzy?
2,957,Mumin谷??
3,823,トムソン??
4,789,Ra?ffine
5,748,☆☆ながれ星彡
6,732,上位目指す隊?
7,701,ばよえ?ん。
8,696,さんらいず??
9,680,†とわいらいと†
10,660,嵐山
11,655,えすぽらーず
12,651,さんせっと??
13,645,早乙女学園?
14,632,?いちごぷよ隊?
15,628,RedbuII?
16,622,まるむすてぃ?ん
17,605,かもみ～るかふぇ
18,579,赤い妖精
19,575,tipo
20,570,谷口ぴーまん
21,570,カーバンクル
22,558,たいようのほこら
23,558,淡麗生!!
24,550,Antenna
25,548,?Ｃlair?
26,546,ミッドガルド?
27,541,MYM318☆彡
28,539,からあげ流星群
29,532,かおりワールド
30,520,だらゴロ・囚・
31,520,ぴんぽーん
32,515,ねこたらんど
33,514,プリンシパル☆彡
34,513,LovE?
35,511,V.I.P.
36,509,?怪盗スケルトン
37,506,無課金こそ愉悦!
38,506,ぷよビ～ッチ☆
39,505,Law@
40,505,Lαvｉn&#039;υ?
41,499,ねこぽよ軍??
42,499,いえろ～こんび♪
43,496,ももピーチ帝国
44,496,一生を寝てい隊
45,495,†魔導学校†
46,494,にゃ?んだふる♪
47,489,にないか
48,489,☆命蓮寺☆
49,487,★愉快な仲間達☆
50,484,ねこずき
51,484,Luxillia
52,482,★エーミール★
53,479,ちょびぎるど
54,478,チームかつをぶし
55,476,やわらかギルド
56,475,果物の缶詰
57,474,Buzz?
58,473,賢者モード
59,471,ぷよクエ楽しみ隊
60,471,ＢＢ団
61,470,お笑い?研究府
62,469,ぷよろう会
63,463,かわいいはせいぎ
64,463,自由都市ももにち
65,461,ぼっち同盟
66,461,ぷよっとパニック
67,455,?アンシェル?
68,455,2chスレギルド
69,454,とれっきんぐ
70,452,?KoB?
71,451,佐久間上水
72,450,同じ穴のぷよら～
73,445,ブルーウィング
74,445,ラフィ亭
75,444,ぁひるたいちょ組
76,444,Gunners!
77,443,コンパイルクラブ
78,443,無KG板ギルド
79,443,遊戯都市第七地区
80,442,トウーンタウン
81,441,お腹@ばよ?支店
82,441,うさぎの巣?
83,440,Ｋ２
84,435,みなみけ
85,433,パーミテーション
86,433,Blackチョコ
87,433,パンダ百匹！！
88,432,BestLuck
89,432,ファンタビーチ
90,431,エランド
91,431,let&#039;sぷよ！
92,431,ウィッチ魔法学院
93,429,ひろす
94,425,六猫?おーき軍
95,425,猫好き仙人界
96,425,ジュビレーション
97,425,チームかわいい
98,425,陽だまりのねこ?
99,424,ぷよく鉛筆?HB
100,424,みなとみらい
101,423,ギルド一ナツ
102,421,COLORS＊*
103,419,ぷよよよよよん?
104,419,早起は三文のとく
105,415,手製ぷよ
106,414,TEREON&#039;s
107,414,☆ネコカフェ☆
108,411,ねこのうにメロン
109,409,SPIRAL★彡
110,409,北の大地☆人情派
111,407,ぷよクエRUSH
112,406,風来のぷよ使い
