,2015/11/15 08:18:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1505,Dizzy?
2,1502,Mumin谷??
3,1399,トムソン??
4,1333,☆☆ながれ星彡
5,1332,Ra?ffine
6,1306,上位目指す隊?
7,1299,ばよえ?ん。
8,1284,嵐山
9,1283,さんらいず??
10,1261,まるむすてぃ?ん
11,1243,†とわいらいと†
12,1199,早乙女学園?
13,1179,さんせっと??
14,1177,?いちごぷよ隊?
15,1174,祝RedbuII
16,1138,えすぽらーず
17,1126,カーバンクル
18,1121,tipo
19,1107,赤い妖精
20,1107,谷口ぴーまん
21,1106,かもみ～るかふぇ
22,1099,たいようのほこら
23,1082,ぴんぽーん
24,1062,だらゴロ・囚・
25,1060,?Ｃlair?
26,1054,☆命蓮寺☆
27,1044,Luxillia
28,1042,Antenna
29,1041,かおりワールド
30,1039,ももピーチ帝国
31,1035,MYM318☆彡
32,1034,?怪盗スケルトン
33,1033,ねこたらんど
34,1031,からあげ流星群
35,1031,にゃ?んだふる♪
36,1027,淡麗生!!
37,1024,†魔導学校†
38,1023,無課金こそ愉悦!
39,1022,プリンシパル☆彡
40,1021,ＢＢ団
41,1020,かわいいはせいぎ
42,1017,ぷよクエ楽しみ隊
43,1015,ミッドガルド?
44,1014,ぷよビ～ッチ☆
45,1012,賢者モード
46,1009,LovE?
47,1004,ねこずき
48,1004,にないか
49,1003,ねこぽよ軍??
50,1002,いえろ～こんび♪
51,1001,V.I.P.
52,1001,やわらかギルド
53,992,Law@
54,992,Lαvｉn&#039;υ?
55,992,果物の缶詰
56,991,ぷよろう会
57,982,★エーミール★
58,970,一生を寝てい隊
59,959,無KG板ギルド
60,952,自由都市ももにち
61,946,ぼっち同盟
62,944,2chスレギルド
63,936,とれっきんぐ
64,932,お笑い?研究府
65,929,★愉快な仲間達☆
66,928,ファンタビーチ
67,926,Buzz?
68,923,ひろす
69,919,ブルーウィング
70,919,?アンシェル?
71,914,佐久間上水
72,913,BestLuck
73,912,パンダ百匹！！
74,912,同じ穴のぷよら～
75,911,遊戯都市第七地区
76,897,Ｋ２
77,894,チームかわいい
78,894,ちょびぎるど
79,891,祝！ＳＳあひる組
80,890,ぷよっとパニック
81,889,手製ぷよ
82,880,うさぎの巣?
83,877,チームかつをぶし
84,876,Gunners!
85,876,?KoB?
86,874,トウーンタウン
87,872,☆マーロボカフェ
88,871,ウィッチ魔法学院
89,870,ラフィ亭
90,866,let&#039;sぷよ！
91,863,みなとみらい
92,862,早起は三文のとく
93,859,猫好き仙人界
94,858,???☆
95,851,AGILE
96,849,六猫?おーき軍
97,844,Blackチョコ
98,842,ジュビレーション
99,841,陽だまりのねこ?
100,841,パーミテーション
101,839,コンパイルクラブ
102,835,エランド
103,834,SPIRAL★彡
104,834,ぐみぷよ
105,827,お腹@ばよ?支店
106,819,すたんどあっぷ
107,818,まったり勢。
108,806,ぷよく鉛筆?HB
109,804,TEREON&#039;s
