,2015/11/14 12:59:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1461,Dizzy?
2,1402,Mumin谷??
3,1262,トムソン??
4,1214,Ra?ffine
5,1208,☆☆ながれ星彡
6,1171,上位目指す隊?
7,1163,ばよえ?ん。
8,1151,嵐山
9,1150,さんらいず??
10,1130,まるむすてぃ?ん
11,1116,†とわいらいと†
12,1103,早乙女学園?
13,1076,?いちごぷよ隊?
14,1072,さんせっと??
15,1053,祝RedbuII
16,1044,えすぽらーず
17,1037,tipo
18,1022,赤い妖精
19,1021,谷口ぴーまん
20,1016,かもみ～るかふぇ
21,1008,カーバンクル
22,1004,たいようのほこら
23,972,ぴんぽーん
24,964,Antenna
25,964,?Ｃlair?
26,958,MYM318☆彡
27,946,だらゴロ・囚・
28,936,からあげ流星群
29,936,☆命蓮寺☆
30,931,かおりワールド
31,921,淡麗生!!
32,919,ねこたらんど
33,915,にゃ?んだふる♪
34,915,ぷよビ～ッチ☆
35,914,無課金こそ愉悦!
36,910,?怪盗スケルトン
37,910,Luxillia
38,908,ミッドガルド?
39,904,ももピーチ帝国
40,901,ＢＢ団
41,900,ぷよクエ楽しみ隊
42,891,プリンシパル☆彡
43,890,かわいいはせいぎ
44,884,LovE?
45,884,†魔導学校†
46,881,ねこずき
47,881,Law@
48,879,やわらかギルド
49,875,ねこぽよ軍??
50,874,いえろ～こんび♪
51,871,にないか
52,869,V.I.P.
53,867,賢者モード
54,865,一生を寝てい隊
55,862,Lαvｉn&#039;υ?
56,855,ぷよろう会
57,852,果物の缶詰
58,840,Buzz?
59,839,★エーミール★
60,834,とれっきんぐ
61,832,ぼっち同盟
62,819,無KG板ギルド
63,818,ブルーウィング
64,817,2chスレギルド
65,814,★愉快な仲間達☆
66,802,お笑い?研究府
67,801,自由都市ももにち
68,801,BestLuck
69,801,?アンシェル?
70,797,ファンタビーチ
71,787,遊戯都市第七地区
72,783,佐久間上水
73,782,ひろす
74,781,同じ穴のぷよら～
75,780,チームかつをぶし
76,779,パンダ百匹！！
77,779,ぷよっとパニック
78,779,Ｋ２
79,776,祝！ＳＳあひる組
80,773,ウィッチ魔法学院
81,772,?KoB?
82,768,ちょびぎるど
83,767,Gunners!
84,764,チームかわいい
85,761,ラフィ亭
86,759,トウーンタウン
87,758,手製ぷよ
88,757,うさぎの巣?
89,756,☆ネコカフェ☆
90,752,コンパイルクラブ
91,751,let&#039;sぷよ！
92,751,Blackチョコ
93,749,パーミテーション
94,748,みなとみらい
95,746,陽だまりのねこ?
96,746,六猫?おーき軍
97,740,猫好き仙人界
98,739,エランド
99,734,???☆
100,734,ジュビレーション
101,733,早起は三文のとく
102,728,みなみけ
103,726,AGILE
104,724,お腹@ばよ?支店
105,721,SPIRAL★彡
106,717,すたんどあっぷ
107,713,ねこのうにメロン
108,713,ギルド一ナツ
109,708,ぐみぷよ
110,706,ぷよく鉛筆?HB
111,703,COLORS＊*
