,2015/11/15 02:38:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1504,Dizzy?
2,1500,Mumin谷??
3,1374,トムソン??
4,1307,Ra?ffine
5,1303,☆☆ながれ星彡
6,1285,上位目指す隊?
7,1267,ばよえ?ん。
8,1250,嵐山
9,1246,さんらいず??
10,1228,まるむすてぃ?ん
11,1206,†とわいらいと†
12,1189,早乙女学園?
13,1156,?いちごぷよ隊?
14,1155,さんせっと??
15,1144,祝RedbuII
16,1122,えすぽらーず
17,1108,tipo
18,1104,カーバンクル
19,1098,谷口ぴーまん
20,1091,かもみ～るかふぇ
21,1091,赤い妖精
22,1081,たいようのほこら
23,1073,ぴんぽーん
24,1051,?Ｃlair?
25,1043,だらゴロ・囚・
26,1039,☆命蓮寺☆
27,1029,Antenna
28,1028,MYM318☆彡
29,1024,ねこたらんど
30,1022,ももピーチ帝国
31,1021,からあげ流星群
32,1019,にゃ?んだふる♪
33,1018,?怪盗スケルトン
34,1018,Luxillia
35,1018,かおりワールド
36,1017,淡麗生!!
37,1015,かわいいはせいぎ
38,1014,ぷよクエ楽しみ隊
39,1012,ＢＢ団
40,1007,プリンシパル☆彡
41,1007,無課金こそ愉悦!
42,1004,ぷよビ～ッチ☆
43,1004,ミッドガルド?
44,1003,†魔導学校†
45,1002,賢者モード
46,999,ねこずき
47,991,LovE?
48,990,いえろ～こんび♪
49,989,ねこぽよ軍??
50,978,V.I.P.
51,977,Law@
52,974,やわらかギルド
53,973,Lαvｉn&#039;υ?
54,973,にないか
55,970,ぷよろう会
56,966,果物の缶詰
57,963,★エーミール★
58,954,一生を寝てい隊
59,930,無KG板ギルド
60,929,とれっきんぐ
61,923,2chスレギルド
62,919,自由都市ももにち
63,919,ぼっち同盟
64,912,★愉快な仲間達☆
65,912,Buzz?
66,908,お笑い?研究府
67,904,ブルーウィング
68,896,佐久間上水
69,896,?アンシェル?
70,895,ファンタビーチ
71,894,同じ穴のぷよら～
72,888,ひろす
73,885,ちょびぎるど
74,884,BestLuck
75,883,パンダ百匹！！
76,878,遊戯都市第七地区
77,876,ぷよっとパニック
78,874,祝！ＳＳあひる組
79,872,Ｋ２
80,868,チームかつをぶし
81,864,チームかわいい
82,864,?KoB?
83,863,手製ぷよ
84,859,トウーンタウン
85,859,うさぎの巣?
86,856,ウィッチ魔法学院
87,856,ラフィ亭
88,855,☆マーロボカフェ
89,848,猫好き仙人界
90,848,みなとみらい
91,848,Gunners!
92,838,AGILE
93,838,早起は三文のとく
94,836,let&#039;sぷよ！
95,832,六猫?おーき軍
96,832,陽だまりのねこ?
97,829,ジュビレーション
98,829,???☆
99,827,Blackチョコ
100,826,コンパイルクラブ
101,822,SPIRAL★彡
102,821,パーミテーション
103,820,エランド
104,813,お腹@ばよ?支店
105,811,ぐみぷよ
106,802,まったり勢。
107,798,すたんどあっぷ
108,789,ねこのうにメロン
109,789,みなみけ
110,789,ぷよく鉛筆?HB
