,2015/11/11 21:20:05
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,550,Dizzy?
2,533,Mumin谷??
3,462,Ra?ffine
4,457,☆☆ながれ星彡
5,449,トムソン??
6,405,さんせっと??
7,401,さんらいず??
8,400,ばよえ?ん。
9,391,上位目指す隊?
10,382,えすぽらーず
11,377,早乙女学園?
12,375,RedbuII?
13,374,†とわいらいと†
14,370,?いちごぷよ隊?
15,360,嵐山
16,353,谷口ぴーまん
17,339,かもみ～るかふぇ
18,339,まるむすてぃ?ん
19,317,tipo
20,315,たいようのほこら
21,314,カーバンクル
22,312,淡麗生!!
23,312,からあげ流星群
24,310,Antenna
25,308,?Ｃlair?
26,303,ミッドガルド?
27,302,MYM318☆彡
28,301,無課金こそ愉悦!
29,301,ねこたらんど
30,300,赤い妖精
31,299,かおりワールド
32,299,ぴんぽーん
33,297,V.I.P.
34,291,だらゴロ・囚・
35,289,いえろ～こんび♪
36,289,プリンシパル☆彡
37,289,にゃ?んだふる♪
38,289,チームかつをぶし
39,288,ぷよクエ楽しみ隊
40,288,?怪盗スケルトン
41,285,†魔導学校†
42,284,一生を寝てい隊
43,284,Lαvｉn&#039;υ?
44,284,LovE?
45,283,☆命蓮寺☆
46,282,ちょびぎるど
47,281,同じ穴のぷよら～
48,280,★愉快な仲間達☆
49,279,ぷよビ～ッチ☆
50,279,祝3S佐久間上水
51,279,★エーミール★
52,279,やわらかギルド
53,277,ももピーチ帝国
54,275,お笑い?研究府
55,274,かわいいはせいぎ
56,274,Law@
57,274,にないか
58,272,ねこずき
59,270,ぷよろう会
60,270,ＢＢ団
61,269,ねこのうにメロン
62,267,果物の缶詰
63,267,?アンシェル?
64,267,ぷよよよよよん?
65,266,ギルド一ナツ
66,264,ねこぽよ軍??
67,263,とれっきんぐ
68,263,ブルーウィング
69,261,Luxillia
70,261,賢者モード
71,261,2chスレギルド
72,260,自由都市ももにち
73,260,無KG板ギルド
74,260,ぷよっとパニック
75,259,ぼっち同盟
76,259,エランド
77,259,みなとみらい
78,258,?KoB?
79,258,BestLuck
80,257,トウーンタウン
81,257,ラフィ亭
82,256,ウィッチ魔法学院
83,256,陽だまりのねこ?
84,256,ファンタビーチ
85,256,ジュビレーション
86,254,パーミテーション
87,253,AGILE
88,252,けにくら！祝LS
89,252,ぁひるたいちょ組
90,251,Lipton　
91,251,うさぎの巣?
92,251,Buzz?
93,251,Blackチョコ
94,250,遊戯都市第七地区
95,249,SPIRAL★彡
96,249,猫好き仙人界
97,249,早起は三文のとく
98,249,ぷよく鉛筆?HB
99,249,コンパイルクラブ
100,249,パンダ百匹！！
101,249,?水守革命?
102,249,コスモツリー
103,249,ももぐみ
104,248,六猫?おーき軍
105,248,Gunners!
106,245,Ｋ２
107,245,お腹@ばよ?支店
108,245,北の大地☆人情派
109,245,チームやどかり
110,243,COLORS＊*
111,243,LxStella
112,243,まったりにゃーん
113,241,みなみけ
