,2015/11/11 19:05:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,404,Dizzy?
2,383,Mumin谷??
3,344,Ra?ffine
4,333,☆☆ながれ星彡
5,330,トムソン??
6,310,さんせっと??
7,294,ばよえ?ん。
8,289,さんらいず??
9,284,上位目指す隊?
10,284,えすぽらーず
11,279,早乙女学園?
12,279,RedbuII?
13,276,?いちごぷよ隊?
14,273,†とわいらいと†
15,262,嵐山
16,260,谷口ぴーまん
17,259,tipo
18,252,まるむすてぃ?ん
19,241,淡麗生!!
20,239,カーバンクル
21,239,?Ｃlair?
22,239,かもみ～るかふぇ
23,236,たいようのほこら
24,234,ミッドガルド?
25,234,かおりワールド
26,233,からあげ流星群
27,233,無課金こそ愉悦!
28,229,MYM318☆彡
29,229,Antenna
30,229,V.I.P.
31,229,ねこたらんど
32,224,†魔導学校†
33,223,ぴんぽーん
34,223,だらゴロ・囚・
35,223,ぷよクエ楽しみ隊
36,221,Lαvｉn&#039;υ?
37,220,同じ穴のぷよら～
38,220,プリンシパル☆彡
39,220,赤い妖精
40,219,にゃ?んだふる♪
41,218,一生を寝てい隊
42,218,Law@
43,217,★エーミール★
44,216,ねこのうにメロン
45,215,お笑い?研究府
46,215,やわらかギルド
47,214,?怪盗スケルトン
48,214,ぷよビ～ッチ☆
49,212,★愉快な仲間達☆
50,211,LovE?
51,210,佐久間上水
52,210,ぷよろう会
53,210,いえろ～こんび♪
54,209,Luxillia
55,209,ちょびぎるど
56,209,ギルド一ナツ
57,209,かわいいはせいぎ
58,209,ねこずき
59,208,ももピーチ帝国
60,207,にないか
61,206,☆命蓮寺☆
62,206,チームかつをぶし
63,205,?アンシェル?
64,203,ぷよよよよよん?
65,203,ＢＢ団
66,203,ジュビレーション
67,202,ねこぽよ軍??
68,202,Lipton　
69,201,果物の缶詰
70,200,ファンタビーチ
71,199,早起は三文のとく
72,199,ぷよっとパニック
73,199,賢者モード
74,199,無KG板ギルド
75,199,ウィッチ魔法学院
76,198,とれっきんぐ
77,198,?KoB?
78,198,ぼっち同盟
79,198,パーミテーション
80,198,トウーンタウン
81,198,BestLuck
82,198,ぁひるたいちょ組
83,198,ラフィ亭
84,196,陽だまりのねこ?
85,195,遊戯都市第七地区
86,195,ブルーウィング
87,193,エランド
88,192,コンパイルクラブ
89,191,六猫?おーき軍
90,191,パンダ百匹！！
91,190,SPIRAL★彡
92,189,AGILE
93,189,コスモツリー
94,189,Gunners!
95,189,チームやどかり
96,189,Ｋ２
97,189,みなとみらい
98,188,☆ネコカフェ☆
99,186,Sirius?
100,186,COLORS＊*
101,186,LxStella
102,186,ぷよく鉛筆?HB
103,185,2chスレギルド
104,185,ぷよよん同盟
105,184,Blackチョコ
106,184,ボギャーン
107,182,がんばりまっくす
108,182,まったりにゃーん
109,182,お腹@ばよ?支店
110,182,あわわっ子
111,182,自由都市ももにち
112,182,みなみけ
113,182,猫好き仙人界
114,181,マミーポコ
