,2015/11/11 21:19:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,549,Dizzy?
2,532,Mumin谷??
3,462,Ra?ffine
4,457,☆☆ながれ星彡
5,449,トムソン??
6,404,さんせっと??
7,401,さんらいず??
8,400,ばよえ?ん。
9,391,上位目指す隊?
10,382,えすぽらーず
11,377,早乙女学園?
12,375,RedbuII?
13,374,†とわいらいと†
14,370,?いちごぷよ隊?
15,360,嵐山
16,352,谷口ぴーまん
17,339,かもみ～るかふぇ
18,339,まるむすてぃ?ん
19,316,tipo
20,315,たいようのほこら
21,314,カーバンクル
22,312,淡麗生!!
23,312,からあげ流星群
24,310,Antenna
25,308,?Ｃlair?
26,302,ミッドガルド?
27,302,MYM318☆彡
28,301,無課金こそ愉悦!
29,300,ねこたらんど
30,300,赤い妖精
31,299,かおりワールド
32,299,ぴんぽーん
33,296,V.I.P.
34,290,だらゴロ・囚・
35,289,いえろ～こんび♪
36,289,プリンシパル☆彡
37,289,にゃ?んだふる♪
38,289,チームかつをぶし
39,287,ぷよクエ楽しみ隊
40,287,?怪盗スケルトン
41,284,†魔導学校†
42,284,一生を寝てい隊
43,283,Lαvｉn&#039;υ?
44,283,☆命蓮寺☆
45,283,LovE?
46,281,ちょびぎるど
47,281,同じ穴のぷよら～
48,279,★愉快な仲間達☆
49,279,ぷよビ～ッチ☆
50,279,祝3S佐久間上水
51,278,やわらかギルド
52,278,★エーミール★
53,276,ももピーチ帝国
54,275,お笑い?研究府
55,274,かわいいはせいぎ
56,274,Law@
57,273,にないか
58,271,ねこずき
59,270,ぷよろう会
60,269,ＢＢ団
61,269,ねこのうにメロン
62,267,果物の缶詰
63,266,?アンシェル?
64,266,ギルド一ナツ
65,266,ぷよよよよよん?
66,263,ねこぽよ軍??
67,262,ブルーウィング
68,262,とれっきんぐ
69,260,Luxillia
70,260,賢者モード
71,260,自由都市ももにち
72,260,2chスレギルド
73,260,無KG板ギルド
74,260,ぷよっとパニック
75,259,ぼっち同盟
76,259,エランド
77,259,みなとみらい
78,258,?KoB?
79,257,トウーンタウン
80,256,ラフィ亭
81,256,BestLuck
82,255,ウィッチ魔法学院
83,255,陽だまりのねこ?
84,254,ファンタビーチ
85,254,ジュビレーション
86,253,パーミテーション
87,252,けにくら！祝LS
88,252,AGILE
89,251,ぁひるたいちょ組
90,251,Lipton　
91,250,うさぎの巣?
92,250,Buzz?
93,250,Blackチョコ
94,250,遊戯都市第七地区
95,249,SPIRAL★彡
96,249,猫好き仙人界
97,249,早起は三文のとく
98,249,ぷよく鉛筆?HB
99,249,コンパイルクラブ
100,249,パンダ百匹！！
101,248,?水守革命?
102,248,ももぐみ
103,248,コスモツリー
104,248,六猫?おーき軍
105,247,Gunners!
106,244,お腹@ばよ?支店
107,244,チームやどかり
108,244,北の大地☆人情派
109,244,Ｋ２
110,243,COLORS＊*
111,242,まったりにゃーん
112,241,LxStella
113,240,みなみけ
