,2015/11/14 10:44:06
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1438,Dizzy?
2,1398,Mumin谷??
3,1244,トムソン??
4,1199,Ra?ffine
5,1199,☆☆ながれ星彡
6,1152,上位目指す隊?
7,1147,ばよえ?ん。
8,1134,嵐山
9,1133,さんらいず??
10,1111,まるむすてぃ?ん
11,1100,†とわいらいと†
12,1094,早乙女学園?
13,1063,?いちごぷよ隊?
14,1055,さんせっと??
15,1041,祝RedbuII
16,1035,えすぽらーず
17,1028,tipo
18,1011,赤い妖精
19,1011,谷口ぴーまん
20,1005,かもみ～るかふぇ
21,997,カーバンクル
22,994,たいようのほこら
23,955,ぴんぽーん
24,951,Antenna
25,948,?Ｃlair?
26,941,MYM318☆彡
27,925,だらゴロ・囚・
28,923,からあげ流星群
29,919,☆命蓮寺☆
30,915,かおりワールド
31,907,淡麗生!!
32,902,ねこたらんど
33,900,ぷよビ～ッチ☆
34,900,無課金こそ愉悦!
35,899,にゃ?んだふる♪
36,894,ミッドガルド?
37,892,?怪盗スケルトン
38,889,Luxillia
39,889,ＢＢ団
40,882,ももピーチ帝国
41,878,ぷよクエ楽しみ隊
42,873,プリンシパル☆彡
43,869,かわいいはせいぎ
44,868,LovE?
45,866,†魔導学校†
46,865,やわらかギルド
47,863,ねこずき
48,863,Law@
49,861,いえろ～こんび♪
50,860,ねこぽよ軍??
51,855,V.I.P.
52,853,にないか
53,852,一生を寝てい隊
54,849,賢者モード
55,849,Lαvｉn&#039;υ?
56,838,果物の缶詰
57,834,ぷよろう会
58,829,Buzz?
59,822,ぼっち同盟
60,818,★エーミール★
61,817,とれっきんぐ
62,807,ブルーウィング
63,803,2chスレギルド
64,801,無KG板ギルド
65,794,★愉快な仲間達☆
66,789,BestLuck
67,788,自由都市ももにち
68,783,お笑い?研究府
69,781,ファンタビーチ
70,779,?アンシェル?
71,772,遊戯都市第七地区
72,768,チームかつをぶし
73,768,Ｋ２
74,766,パンダ百匹！！
75,766,佐久間上水
76,765,ひろす
77,765,同じ穴のぷよら～
78,764,ぷよっとパニック
79,760,?KoB?
80,759,祝！ＳＳあひる組
81,759,ウィッチ魔法学院
82,755,Gunners!
83,750,チームかわいい
84,749,ちょびぎるど
85,749,うさぎの巣?
86,748,ラフィ亭
87,744,トウーンタウン
88,744,コンパイルクラブ
89,743,let&#039;sぷよ！
90,743,手製ぷよ
91,740,☆ネコカフェ☆
92,738,パーミテーション
93,736,Blackチョコ
94,733,六猫?おーき軍
95,732,陽だまりのねこ?
96,731,みなとみらい
97,728,エランド
98,725,猫好き仙人界
99,723,ジュビレーション
100,716,みなみけ
101,716,早起は三文のとく
102,716,???☆
103,712,AGILE
104,710,SPIRAL★彡
105,708,お腹@ばよ?支店
106,705,ギルド一ナツ
107,703,ねこのうにメロン
108,702,すたんどあっぷ
109,694,ぷよく鉛筆?HB
110,692,ぷよよん同盟
111,692,COLORS＊*
