2015/12/17 21:49:29
TARGET
ま
num
speed
Dizzy
num
speed
幸喜
num
speed
Mumin
num
speed
ハーピー
num
speed
ALL
1位,"",ハーピー狂,405297
2位,"",幸喜___,330961
3位,"",EL,322434
4位,"",Lipton募集,272581
5位,"",ま,267253
6位,"",むぅちゃん,247226
7位,"",栄枯盛衰,245985
8位,"",techi,235522
9位,"",let'sぷよ募,207814
10位,"",リプトン募集中,205952
11位,"",おしよ_,201403
12位,"",絶望えり,199712
13位,"",ゆいたん,199198
14位,"",早乙女@募集中♪,197016
15位,"",白キノコマン,195293
16位,"",Wみーちゃん,188274
17位,"",交戦中㌔,187972
18位,"",勇くれーる,187285
19位,"",キヨねこらん募集,183948
20位,"",とら×,181646
21位,"",ゴーストライター,180607
22位,"",ゆきエーミール,180224
23位,"",ポンちゃん,180069
24位,"",すず,178781
25位,"",馬券師池田,178622
26位,"",ほしみ★祝SSS,177116
27位,"",すたんどＵＰあき,173701
28位,"",うちゃ,173021
29位,"",リリス＊BT中,170705
30位,"",ParU_,168336
31位,"",のぞみ_○,166563
32位,"",朱雀,162502
33位,"",悟空＊,162434
34位,"",セバスチャン,160590
35位,"",男が女に群がるギ,159444
36位,"",桜エビ,157199
37位,"",ゴリ男　バレー×,157047
38位,"",κυυとわらい,156311
39位,"",ルナちょむ,156115
40位,"",サンアミ可愛い,153070
41位,"",なおたん,152265
42位,"",キャリー,149226
43位,"",ぴろし,147739
44位,"",ame,144293
45位,"",こまつ†,144249
46位,"",フユニャン,144176
47位,"",しま,143556
48位,"",あきっちgア済,142973
49位,"",七面鳥。,142834
50位,"",きく@早乙女募集,142282
51位,"",魔王寝Zzz,141911
52位,"",マニア,141042
53位,"",りょう,139738
54位,"",るるのの,139681
55位,"",mayu,139351
56位,"",クマゴロウ_,137973
57位,"",すたんどコナン,137164
58位,"",ちび闇,136254
59位,"",せいな_,135694
60位,"",ゆきママ,135595
61位,"",マツ_,134862
62位,"",キュア,133290
63位,"",きみみ★愉快募集,133048
64位,"",レイすたんどUP,132984
65位,"",ダガー,131156
66位,"",keyaki,130910
67位,"",けいた,130319
68位,"",まるお,129454
69位,"",愛,129230
70位,"",ぱっくん×,127781
71位,"",まゆclair,127371
72位,"",新茶_,125720
73位,"",かなめ,125653
74位,"",さなエーミール,125298
75位,"",国定,124541
76位,"",ムー★愉快,123335
77位,"",卓己,123116
78位,"",まとー,122775
79位,"",ごろちゃん,122676
80位,"",ぽぽろ,122125
81位,"",モカアプデ済,121856
82位,"",お琴,121725
83位,"",まったり勢。募集,119888
84位,"",エス,119608
85位,"",もっぷ帝国代表,118633
86位,"",ごる兄,117904
87位,"",ロシ調整×,116974
88位,"",チェルオ,116488
89位,"",早乙女★募集中,116303
90位,"",ゆうじーにょ12,115897
91位,"",昭希,115283
92位,"",かめづ,114746
93位,"",いっしー○,114668
94位,"",はるくん♪,114632
95位,"",銭形,114444
96位,"",火ペンギン,114187
97位,"",雪之丞_,114015
98位,"",とこたと〆,113553
99位,"",トレイン,113529
100位,"",N,113364
101位,"",あつみ,112310
102位,"",ねす,111836
103位,"",かななん,111376
104位,"",シェルリィ,109980
105位,"",☆せり☆,109740
106位,"",ぱおん☆小澤,109470
107位,"",蘭,109029
108位,"",しーる,108593
109位,"",シェリー,108391
110位,"",かげ,107960
111位,"",HIROSI先生,107710
112位,"",シン,107227
113位,"",tomoo,106527
114位,"",ゆかままLipt,106331
115位,"",バーニー,106149
116位,"",ひろちゃん☆彡.,105693
117位,"",ゆっこ†アカ↑1,105621
118位,"",十番隊隊長卍解,105096
119位,"",翠姫@JINN,104540
120位,"",☆mao☆,104460
121位,"",ラーム,104340
122位,"",ひろこ,104165
123位,"",オル_,103318
124位,"",イカ,102842
125位,"",ろんきち,102687
126位,"",Linda,102482
127位,"",祐一,102049
128位,"",隠居したい(切実,101538
129位,"",えりふふれ,101035
130位,"",なみビール切れ,100677
131位,"",(・ー・)聖まぴ,99316
132位,"",リック,98971
133位,"",Law@てったん,98883
134位,"",ゆき_,98628
135位,"",リンク__,98481
136位,"",ハムスター,98398
137位,"",ゆんゆん,98390
138位,"",きのこもりもり,98256
139位,"",かず,97862
140位,"",TAKA,97626
141位,"",よっち＊,97202
142位,"",いなver.聖夜,97004
143位,"",ジーザス,96221
144位,"",猫,95079
145位,"",らいど,94937
146位,"",LUNA,94355
147位,"",もんきち,94228
148位,"",ぷるっぴ,94078
149位,"",しま,93944
150位,"",つかみー,93728
151位,"",せれな,93352
152位,"",クリスマス鳥,92779
153位,"",しぃ。,92757
154位,"",ひさき,92558
155位,"",FeMi9,92341
156位,"",みち☆愉快募集♪,92255
157位,"",いるあ○,91824
158位,"",昌宏　△,91596
159位,"",sasa忘年会,91216
160位,"",たた,91202
161位,"",てんぷるねる,91027
162位,"",ちざきゃ,90468
163位,"",亜連,90068
164位,"",ちとせ,89822
165位,"",かさぶたランナー,89477
166位,"",しゅう,89350
167位,"",りん彡,88596
168位,"",リーク,88371
169位,"",妖精投入ストップ,88338
170位,"",三瓶,88143
171位,"",RYO_ゆのゆの,87981
172位,"",ともちゃん,87637
173位,"",イノリ,87584
174位,"",もーりーL○,87483
175位,"",ひなち～,87272
176位,"",ギル,86971
177位,"",おむぅおしまい,86909
178位,"",にこ,86747
179位,"",オボロ_,86607
180位,"",ねこ＊↓,86367
181位,"",とおる_,86104
182位,"",ひなたむーみん,85903
183位,"",くーちゃん,85601
184位,"",♪龍王,85364
185位,"",オミメロ,85173
186位,"",湖,84620
187位,"",シンジ,84407
188位,"",ひゃっこゼリー求,83396
189位,"",エビ＠LVE,82894
190位,"",ペルセポネ,82809
191位,"",まも,82384
192位,"",あつver聖夜,81748
193位,"",†雷帝†,81529
194位,"",ノッチん,81270
195位,"",ワタナシン×,81080
196位,"",IRI☆彡,80861
197位,"",桜_,79901
198位,"",すてきなホリデイ,79825
199位,"",かずたん,79420
200位,"",ハジメ,79272
201位,"",よしえ☆感謝,77871
202位,"",ぽある,77802
203位,"",しょこた,77767
204位,"",うるうる,77728
205位,"",ein@収集です,77657
206位,"",エコロっエコロっ,77026
207位,"",＊ピチュー_×,76965
208位,"",リラクマコ,76872
209位,"",よ～ぐる,76507
210位,"",Mumei-10,76373
211位,"",のりん(),76355
212位,"",きのこ鍋,76337
213位,"",らむ天パの弟子,75726
214位,"",ゆかちん,75414
215位,"",namako,75310
216位,"",光の右目,75297
217位,"",ケイゴ♪,74733
218位,"",ゆずっこ,74624
219位,"",めいぷる,74399
220位,"",よお×調整,74237
221位,"",らすたくれーる,73741
222位,"",あおい,73314
223位,"",いちご*゜,73279
224位,"",ぬえぴー,73116
225位,"",FRISK,72755
226位,"",ラルパトス,72725
227位,"",のび太16歳,72686
228位,"",うえ,71616
229位,"",うさぎ,70970
230位,"",鷹シャンクス,70864
231位,"",トモ_,70606
232位,"",とも,69910
233位,"",ぷよおやじ_,69854
234位,"",ネコひめ,69773
235位,"",katsu,69503
236位,"",あゆ,69377
237位,"",tru_,69177
238位,"",どろっぷ,69080
239位,"",紅茶花伝,68851
240位,"",みち㍉,68446
241位,"",ぱる☆愉快募集,68329
242位,"",ユイ,68312
243位,"",RESAY,68211
244位,"",七草,68118
245位,"",はなまる,68105
246位,"",☆かけ☆受験生,68096
247位,"",ぽっち☆彡完,68089
248位,"",桜庭玉藻◯,67764
249位,"",snake_激務,67630
250位,"",ふぁん,66932
251位,"",つべイチ,66923
252位,"",lunaqua,66886
253位,"",クオン,66654
254位,"",えび社長∮知多∮,66553
255位,"",*dairi*,66550
256位,"",みるち＊゜,66388
257位,"",ゆず_KFC,66379
258位,"",ゼブラ,66368
259位,"",ばらっち(´ε｀,66283
260位,"",ハナギンタ248,66207
261位,"",梨,66128
262位,"",MA2,65815
263位,"",気宇,65570
264位,"",とし,65355
265位,"",ゆきな,65259
266位,"",ぱぱたん×,65198
267位,"",大河彡,65150
268位,"",朱伽&DanΣ,65062
269位,"",miiko,64947
270位,"",ゆっち,64913
271位,"",のじ_アラ1,64895
272位,"",ach,64571
273位,"",たかし,64348
274位,"",ガリィ♪,64307
275位,"",カエサル,64300
276位,"",赤ちゃん,64106
277位,"",ぱにっくがーる,63915
278位,"",しゅーたん☆彡,63411
279位,"",かつ,63089
280位,"",(′),62993
281位,"",うさこ,62758
282位,"",っぷ,62702
283位,"",ロイ@アプデ済,62675
284位,"",しるふ,62560
285位,"",(-3),62430
286位,"",白香_,62247
287位,"",べんべん,62034
288位,"",あみ,61941
289位,"",☆天貴士覇王☆,61908
290位,"",くみゆのてぃ,61785
291位,"",神夷10,61698
292位,"",くーつぁん,61619
293位,"",さぁや_○,61451
294位,"",クルゥ_,61428
295位,"",(コ・ω・)ン,61318
296位,"",あいつはラララ,61094
297位,"",スタバマン,61000
298位,"",ちあき_,60890
299位,"",千葉悠暉,60870
300位,"",煙突,60833
301位,"",みみっつ,60651
302位,"",ワンピース＊○,60410
303位,"",アクア,60396
304位,"",りっこ,60314
305位,"",ヨワシ仕事×,60255
306位,"",サンタもんじゃ,60119
307位,"",やまち！,60102
308位,"",もとき疲れた,59903
309位,"",あかね,59802
310位,"",のりちゃん,59738
311位,"",なぁーまじ天使,59620
312位,"",たっき,59616
313位,"",ゆず_,59529
314位,"",シャム,59509
315位,"",サムライクロース,59358
316位,"",Mr.PAO,58954
317位,"",ゆかちん,58810
318位,"",なみtanta,58632
319位,"",Xmasキャロル,58520
320位,"",†タケゾウ†,58488
321位,"",ケンタ　,58473
322位,"",あき,58431
323位,"",ケチータ,58368
324位,"",やふ,57953
325位,"",そーま_×,57747
326位,"",jun,57655
327位,"",ポーラ,57568
328位,"",ファンキー,57253
329位,"",こすぎに,57161
330位,"",葛城ミサト◎,57064
TARGET
BORDER
1位,,1位,405297
10位,,10位,205952
30位,,30位,168336
300位,,300位,60833
1000位,,1000位,26698
3000位,,3000位,13537
10000位,,10000位,7444
30000位,,30000位,4277
50000位,,50000位,3047
80000位,,80000位,2115
100000位,,100000位,1706
200000位,,200000位,452
500000位,,500000位,0
115783
1位,"",ハーピー狂,405297
2位,"",幸喜___,330961
3位,"",絶望えり,199712
4位,"",白キノコマン,195293
5位,"",ゴーストライター,180607
6位,"",ルナちょむ,156115
7位,"",るるのの,139681
8位,"",チェルオ,116488
9位,"",TAKA,98408
10位,"",リーク,88371
11位,"",クオン,66654
12位,"",ばらっち(´ε｀,66283
13位,"",ケチータ,58368
14位,"",アオ,51160
15位,"",mchiba×,50357
16位,"",COCO,33647
17位,"",あくまーもん,28720
18位,"",あいね,28252
19位,"",☆×8,24722
20位,"",一十三eri,16666
21位,"",ペロシ,16083
22位,"",coa,15098
23位,"",聖夜eri,14462
24位,"",allen,14323
25位,"",ロン,13350
26位,"",chi-,10229
27位,"",けん_,9797
28位,"",ぽむ,9609
29位,"",さのば_,7968
30位,"",へまち,7667
31位,"",えります,6333
32位,"",はなま,5844
33位,"",HH_,5818
34位,"",しゅみっと,5126
35位,"",ゆりち,5059
36位,"",くろにゃあ,4650
37位,"",ねむい,4308
38位,"",未完,4211
39位,"",ゆーし仕事,2872
40位,"",τ超多忙実習中,2727
41位,"",あるは,1558
42位,"",きぃ,0
42位,"",澪,0
42位,"",こずえる,0
42位,"",Feim,0
42位,"",さち,0
42位,"",ひろぽん,0
