,2015/11/14 15:57:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1494,Dizzy?
2,1430,Mumin谷??
3,1287,トムソン??
4,1235,Ra?ffine
5,1232,☆☆ながれ星彡
6,1196,上位目指す隊?
7,1185,ばよえ?ん。
8,1173,嵐山
9,1170,さんらいず??
10,1149,まるむすてぃ?ん
11,1133,†とわいらいと†
12,1121,早乙女学園?
13,1096,?いちごぷよ隊?
14,1091,さんせっと??
15,1072,祝RedbuII
16,1061,えすぽらーず
17,1048,tipo
18,1038,谷口ぴーまん
19,1034,赤い妖精
20,1033,かもみ～るかふぇ
21,1028,カーバンクル
22,1017,たいようのほこら
23,999,ぴんぽーん
24,993,?Ｃlair?
25,982,Antenna
26,979,MYM318☆彡
27,970,だらゴロ・囚・
28,959,☆命蓮寺☆
29,956,からあげ流星群
30,949,かおりワールド
31,944,淡麗生!!
32,942,ねこたらんど
33,940,にゃ?んだふる♪
34,936,Luxillia
35,934,?怪盗スケルトン
36,934,ぷよビ～ッチ☆
37,932,無課金こそ愉悦!
38,931,ミッドガルド?
39,929,ぷよクエ楽しみ隊
40,928,ももピーチ帝国
41,920,ＢＢ団
42,916,かわいいはせいぎ
43,916,プリンシパル☆彡
44,909,†魔導学校†
45,908,ねこずき
46,908,LovE?
47,906,Law@
48,902,ねこぽよ軍??
49,897,やわらかギルド
50,891,賢者モード
51,891,にないか
52,889,いえろ～こんび♪
53,889,V.I.P.
54,883,一生を寝てい隊
55,882,Lαvｉn&#039;υ?
56,877,ぷよろう会
57,876,果物の缶詰
58,864,★エーミール★
59,852,Buzz?
60,852,とれっきんぐ
61,845,無KG板ギルド
62,844,ぼっち同盟
63,839,2chスレギルド
64,833,ブルーウィング
65,831,★愉快な仲間達☆
66,822,お笑い?研究府
67,818,?アンシェル?
68,817,自由都市ももにち
69,817,ファンタビーチ
70,815,BestLuck
71,809,佐久間上水
72,807,遊戯都市第七地区
73,804,同じ穴のぷよら～
74,801,パンダ百匹！！
75,801,ぷよっとパニック
76,801,ひろす
77,796,祝！ＳＳあひる組
78,796,チームかつをぶし
79,793,Ｋ２
80,792,ちょびぎるど
81,792,ウィッチ魔法学院
82,791,?KoB?
83,783,Gunners!
84,782,チームかわいい
85,778,ラフィ亭
86,776,☆ネコカフェ☆
87,775,トウーンタウン
88,775,手製ぷよ
89,773,うさぎの巣?
90,769,let&#039;sぷよ！
91,769,みなとみらい
92,767,Blackチョコ
93,766,コンパイルクラブ
94,764,パーミテーション
95,763,陽だまりのねこ?
96,761,六猫?おーき軍
97,760,エランド
98,757,猫好き仙人界
99,754,早起は三文のとく
100,752,ジュビレーション
101,750,AGILE
102,749,???☆
103,744,お腹@ばよ?支店
104,743,みなみけ
105,740,SPIRAL★彡
106,737,すたんどあっぷ
107,729,ぐみぷよ
108,727,ねこのうにメロン
109,727,まったり勢。
110,725,ギルド一ナツ
111,723,ぷよく鉛筆?HB
