,2015/11/12 23:22:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1127,Dizzy?
2,1096,Mumin谷??
3,1004,トムソン??
4,977,Ra?ffine
5,949,☆☆ながれ星彡
6,905,上位目指す隊?
7,879,ばよえ?ん。
8,871,さんらいず??
9,828,†とわいらいと†
10,822,嵐山
11,809,早乙女学園?
12,800,さんせっと??
13,795,もっこすなぎさ！
14,790,まるむすてぃ?ん
15,778,えすぽらーず
16,772,?いちごぷよ隊?
17,771,かもみ～るかふぇ
18,760,谷口ぴーまん
19,747,tipo
20,713,カーバンクル
21,709,赤い妖精
22,692,?Ｃlair?
23,690,からあげ流星群
24,688,ぴんぽーん
25,684,たいようのほこら
26,683,淡麗生!!
27,676,Antenna
28,673,MYM318☆彡
29,651,ねこたらんど
30,649,だらゴロ・囚・
31,643,かおりワールド
32,642,ミッドガルド?
33,638,一生を寝てい隊
34,635,LovE?
35,635,ぷよビ～ッチ☆
36,633,いえろ～こんび♪
37,629,ねこぽよ軍??
38,626,にゃ?んだふる♪
39,626,プリンシパル☆彡
40,624,?怪盗スケルトン
41,622,ももピーチ帝国
42,621,Law@
43,621,V.I.P.
44,616,無課金こそ愉悦!
45,615,Lαvｉn&#039;υ?
46,610,ぷよクエ楽しみ隊
47,608,☆命蓮寺☆
48,608,†魔導学校†
49,607,ねこずき
50,605,にないか
51,604,Luxillia
52,601,Buzz?
53,600,ＢＢ団
54,594,★愉快な仲間達☆
55,592,やわらかギルド
56,591,ぼっち同盟
57,589,ぷよろう会
58,589,★エーミール★
59,584,チームかつをぶし
60,584,賢者モード
61,583,果物の缶詰
62,579,かわいいはせいぎ
63,577,自由都市ももにち
64,576,?アンシェル?
65,572,ちょびぎるど
66,571,お笑い?研究府
67,570,同じ穴のぷよら～
68,569,コンパイルクラブ
69,566,無KG板ギルド
70,566,BestLuck
71,564,ウィッチ魔法学院
72,563,Blackチョコ
73,563,ぷよっとパニック
74,562,佐久間上水
75,561,みなみけ
76,561,トウーンタウン
77,560,パンダ百匹！！
78,560,?KoB?
79,559,ブルーウィング
80,558,2chスレギルド
81,556,エランド
82,556,ファンタビーチ
83,555,とれっきんぐ
84,555,ラフィ亭
85,554,お腹@ばよ?支店
86,554,祝！ＳＳあひる組
87,553,陽だまりのねこ?
88,548,うさぎの巣?
89,542,let&#039;sぷよ！
90,541,猫好き仙人界
91,539,Ｋ２
92,538,遊戯都市第七地区
93,537,六猫?おーき軍
94,532,みなとみらい
95,529,ジュビレーション
96,528,パーミテーション
97,528,Gunners!
98,527,チームかわいい
99,526,ねこのうにメロン
100,525,ひろす
101,522,SPIRAL★彡
102,520,ギルド一ナツ
103,519,手製ぷよ
104,519,☆ネコカフェ☆
105,518,COLORS＊*
106,513,チームやどかり
107,512,AGILE
108,511,ももぐみ
109,510,サークルフォイ
110,509,早起は三文のとく
111,509,ぷよよん同盟
112,509,ぐみぷよ
113,508,まったり勢。
