,2015/11/16 00:00:03
185,きまぐれいやー,765,7
186,チームハマー,764,5
187,会話なしギルド,764,5
188,ピタゴラスイッチ,764,5
189,?上弦の月?,762,7
190,Pu---Yo,758,7
191,クンパルシータ,758,6
192,あまぐり,758,7
193,ふぁくとり～♪,755,5
194,チビコロ☆,754,5
195,かーにばる☆彡,749,4
196,うたうんだ村,749,5
197,水曜日は野菜の日,749,5
198,∞ぷるんちょ∞,747,6
199,しろくまっ☆,746,7
200,JanneABC,744,5
201,進撃の無課金兵団,744,6
202,たけのこ派！,744,6
203,東京特許許可局,742,3
204,??????,742,4
205,マリンバトル,741,5
206,輝きみーつぉー,739,5
207,にくきゅう,739,8
208,既製ぷよ@隠居,739,7
209,ナノクローム,736,6
210,黝ぷよ騎士団,736,8
211,のんびり☆きまま,734,5
212,コンパイル懐古会,734,5
213,ぷ(♪-∀-)よ,732,6
214,宮崎藩?,731,4
215,毎日猫をもふり隊,731,6
216,参加は自由でした,731,8
217,のんびり仲良く,729,4
218,新生メタファリカ,729,5
219,育成しなイカ？,729,8
220,地球は緑かった,729,6
221,?絶頂RUSH?,729,6
222,ぷよラテ,729,5
223,花橘,729,6
224,ぱお～ん！,728,3
225,月の雫?.｡?°,727,6
226,スイ?トヨコヅナ,726,6
227,ポレポレ村夢番地,725,5
228,ガウェイン,725,5
229,こんぱいるクラブ,725,7
230,レプレ,724,6
231,?のんびり隠居?,724,5
232,るりあん♪,724,6
233,鎌倉幕府,724,6
234,いちにさん???,719,5
235,風鈴ちりんΦ彡,719,5
236,お手紙ちょ～だぃ,718,7
237,(?ω?)о〇,717,5
238,ペンギン7匹☆彡,711,5
239,ミカン,711,6
240,ボギャーン,709,5
241,絆?KIZUNA,709,5
242,†Bible†,709,6
243,比翼の不死鳥,709,7
244,パーピュア,708,8
245,☆りぼーん☆,704,4
246,甘いのが好き,703,9
247,モヤ2さまぁ～ず,703,8
248,☆まりもの里☆,702,7
249,ガンバ?お疲れ,702,out_of_rank
250,goro&#039;s,702,6
251,にわかあめ,701,7
252,凱歌ノ記憶,700,9
253,カラマギア,700,7
254,?ほんわカニ鍋?,699,6
255,アウトランナーズ,699,8
256,無課金修行部,699,5
257,ウォッカコーヒー,697,4
258,秘密のお菓子工房,697,6
259,ウィッチ様FC,697,6
260,☆きずな☆,695,5
261,しろぷよ♪,695,5
262,ＬＥ?ＣＩＥＬ,694,out_of_rank
263,オレオ*,694,5
264,のびのびふもっふ,694,5
265,?こはるんるん?,694,7
266,LxStella,692,6
267,Ragnar?k,692,7
268,ぴーちゃん隊,691,3
269,ぷーぷよギルド,690,6
270,ブラザーフット,690,7
271,?七色の愛情??,689,4
272,ぷよぷよTime,689,7
273,ほげほげの里,688,4
274,ぷよぷよ艦隊,688,8
275,nOa,688,6
276,1日1時間まで,687,6
277,のんびりギル,686,4
278,虹-niji-,683,4
279,ルーエンハイム,683,5
280,ぷよぷよ通！？,682,3
281,プヨクエ海賊団,681,4
282,モノクロドーナツ,681,5
283,連鎖反応☆NEO,680,7
284,こでまりテラス,679,5
285,（株）ぷよぷよ,679,9
286,ぼっち魔導師っ！,679,4
287,めろんぱんず,679,6
288,ナゾプヨ,679,6
289,☆目指せＳ組☆,678,5
290,ΑLLFREE,677,4
291,のりのりキノコ?,677,6
292,むかきんぐだーむ,677,5
293,毎度おおきに！,676,4
294,みすてりあす。,676,7
295,ピーナッツ☆彡,676,5
