,2015/11/12 10:27:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,999,Dizzy?
2,943,Mumin谷??
3,810,トムソン??
4,776,Ra?ffine
5,735,☆☆ながれ星彡
6,720,上位目指す隊?
7,689,ばよえ?ん。
8,685,さんらいず??
9,671,†とわいらいと†
10,648,えすぽらーず
11,648,嵐山
12,643,さんせっと??
13,634,早乙女学園?
14,624,?いちごぷよ隊?
15,621,RedbuII?
16,609,まるむすてぃ?ん
17,596,かもみ～るかふぇ
18,569,赤い妖精
19,564,谷口ぴーまん
20,563,tipo
21,562,カーバンクル
22,551,たいようのほこら
23,549,淡麗生!!
24,540,Antenna
25,540,ミッドガルド?
26,539,?Ｃlair?
27,532,MYM318☆彡
28,531,からあげ流星群
29,527,かおりワールド
30,511,だらゴロ・囚・
31,510,ぴんぽーん
32,506,プリンシパル☆彡
33,505,ねこたらんど
34,505,LovE?
35,504,V.I.P.
36,504,?怪盗スケルトン
37,499,Law@
38,498,無課金こそ愉悦!
39,497,ぷよビ～ッチ☆
40,496,Lαvｉn&#039;υ?
41,491,ねこぽよ軍??
42,490,いえろ～こんび♪
43,488,†魔導学校†
44,487,にゃ?んだふる♪
45,487,ももピーチ帝国
46,486,一生を寝てい隊
47,483,にないか
48,482,☆命蓮寺☆
49,479,ねこずき
50,479,★エーミール★
51,479,★愉快な仲間達☆
52,475,ちょびぎるど
53,475,Luxillia
54,472,チームかつをぶし
55,469,やわらかギルド
56,469,果物の缶詰
57,468,Buzz?
58,466,お笑い?研究府
59,466,賢者モード
60,464,ぷよクエ楽しみ隊
61,463,ＢＢ団
62,460,ぷよろう会
63,458,かわいいはせいぎ
64,456,自由都市ももにち
65,456,ぼっち同盟
66,453,ぷよっとパニック
67,448,2chスレギルド
68,448,?アンシェル?
69,447,とれっきんぐ
70,445,佐久間上水
71,444,同じ穴のぷよら～
72,443,?KoB?
73,440,ブルーウィング
74,439,ラフィ亭
75,438,トウーンタウン
76,436,Gunners!
77,436,ぁひるたいちょ組
78,435,遊戯都市第七地区
79,435,コンパイルクラブ
80,435,無KG板ギルド
81,432,Ｋ２
82,431,うさぎの巣?
83,429,パーミテーション
84,429,お腹@ばよ?支店
85,428,パンダ百匹！！
86,428,Blackチョコ
87,427,BestLuck
88,425,ファンタビーチ
89,425,let&#039;sぷよ！
90,423,みなみけ
91,422,ひろす
92,422,ウィッチ魔法学院
93,421,エランド
94,419,チームかわいい
95,419,ジュビレーション
96,419,ぷよく鉛筆?HB
97,418,ギルド一ナツ
98,418,陽だまりのねこ?
99,417,COLORS＊*
100,417,六猫?おーき軍
101,415,みなとみらい
102,414,猫好き仙人界
103,414,ぷよよよよよん?
104,413,早起は三文のとく
105,410,TEREON&#039;s
106,409,手製ぷよ
107,408,ねこのうにメロン
108,405,☆ネコカフェ☆
109,403,北の大地☆人情派
110,401,SPIRAL★彡
111,399,風来のぷよ使い
112,399,けにくら！祝LS
