,2015/11/12 02:08:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,765,Mumin谷??
2,751,Dizzy?
3,638,Ra?ffine
4,629,☆☆ながれ星彡
5,615,トムソン??
6,580,上位目指す隊?
7,558,†とわいらいと†
8,552,さんらいず??
9,551,ばよえ?ん。
10,547,さんせっと??
11,531,えすぽらーず
12,528,?いちごぷよ隊?
13,522,早乙女学園?
14,520,RedbuII?
15,511,嵐山
16,473,まるむすてぃ?ん
17,468,谷口ぴーまん
18,467,かもみ～るかふぇ
19,454,淡麗生!!
20,453,カーバンクル
21,452,Antenna
22,450,からあげ流星群
23,444,?Ｃlair?
24,438,赤い妖精
25,436,たいようのほこら
26,435,かおりワールド
27,431,MYM318☆彡
28,431,無課金こそ愉悦!
29,431,?怪盗スケルトン
30,430,tipo
31,425,ミッドガルド?
32,422,いえろ～こんび♪
33,416,ぴんぽーん
34,416,だらゴロ・囚・
35,415,ねこたらんど
36,414,LovE?
37,414,チームかつをぶし
38,413,ちょびぎるど
39,411,Lαvｉn&#039;υ?
40,411,プリンシパル☆彡
41,408,Law@
42,407,V.I.P.
43,405,にゃ?んだふる♪
44,404,ももピーチ帝国
45,404,†魔導学校†
46,402,ねこぽよ軍??
47,402,一生を寝てい隊
48,400,にないか
49,399,☆命蓮寺☆
50,398,ねこずき
51,393,★エーミール★
52,393,★愉快な仲間達☆
53,391,かわいいはせいぎ
54,391,賢者モード
55,390,ぷよクエ楽しみ隊
56,389,ＢＢ団
57,389,祝3S佐久間上水
58,385,自由都市ももにち
59,384,お笑い?研究府
60,383,ぷよビ～ッチ☆
61,378,同じ穴のぷよら～
62,378,やわらかギルド
63,373,ブルーウィング
64,373,ぷよっとパニック
65,373,Luxillia
66,373,Buzz?
67,372,果物の缶詰
68,370,ぷよろう会
69,368,ねこのうにメロン
70,366,とれっきんぐ
71,364,?KoB?
72,362,ぷよよよよよん?
73,361,ぼっち同盟
74,359,うさぎの巣?
75,358,ジュビレーション
76,358,無KG板ギルド
77,358,陽だまりのねこ?
78,357,みなとみらい
79,356,2chスレギルド
80,356,コンパイルクラブ
81,355,?アンシェル?
82,355,遊戯都市第七地区
83,354,パーミテーション
84,354,BestLuck
85,354,猫好き仙人界
86,354,Ｋ２
87,354,エランド
88,351,ぷよく鉛筆?HB
89,350,お腹@ばよ?支店
90,349,ラフィ亭
91,347,AGILE
92,346,トウーンタウン
93,346,ウィッチ魔法学院
94,345,けにくら！祝LS
95,344,ぁひるたいちょ組
96,344,Gunners!
97,344,TEREON&#039;s
98,342,Blackチョコ
99,341,ギルド一ナツ
100,340,COLORS＊*
101,339,パンダ百匹！！
102,338,チームかわいい
103,337,コスモツリー
104,336,手製ぷよ
105,336,ぐみぷよ
106,336,let&#039;sぷよ！
107,335,SPIRAL★彡
108,334,ももぐみ
109,334,みなみけ
110,333,ファンタビーチ
111,331,早起は三文のとく
112,330,まったり勢。
113,330,ぷよクエRUSH
