,2015/11/15 07:19:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1505,Dizzy?
2,1502,Mumin谷??
3,1399,トムソン??
4,1328,☆☆ながれ星彡
5,1326,Ra?ffine
6,1302,上位目指す隊?
7,1294,ばよえ?ん。
8,1280,さんらいず??
9,1278,嵐山
10,1252,まるむすてぃ?ん
11,1237,†とわいらいと†
12,1199,早乙女学園?
13,1176,さんせっと??
14,1174,?いちごぷよ隊?
15,1167,祝RedbuII
16,1134,えすぽらーず
17,1122,カーバンクル
18,1118,tipo
19,1104,赤い妖精
20,1103,谷口ぴーまん
21,1102,かもみ～るかふぇ
22,1097,たいようのほこら
23,1079,ぴんぽーん
24,1059,だらゴロ・囚・
25,1058,?Ｃlair?
26,1052,☆命蓮寺☆
27,1041,Luxillia
28,1039,かおりワールド
29,1039,Antenna
30,1035,ももピーチ帝国
31,1034,MYM318☆彡
32,1032,?怪盗スケルトン
33,1030,ねこたらんど
34,1029,からあげ流星群
35,1028,にゃ?んだふる♪
36,1025,淡麗生!!
37,1021,†魔導学校†
38,1021,無課金こそ愉悦!
39,1019,ＢＢ団
40,1019,プリンシパル☆彡
41,1018,かわいいはせいぎ
42,1016,ぷよクエ楽しみ隊
43,1014,ミッドガルド?
44,1012,ぷよビ～ッチ☆
45,1012,賢者モード
46,1006,LovE?
47,1002,ねこずき
48,1001,いえろ～こんび♪
49,1001,ねこぽよ軍??
50,1001,にないか
51,999,V.I.P.
52,999,やわらかギルド
53,990,Law@
54,989,Lαvｉn&#039;υ?
55,989,果物の缶詰
56,986,ぷよろう会
57,979,★エーミール★
58,965,一生を寝てい隊
59,953,無KG板ギルド
60,944,自由都市ももにち
61,943,2chスレギルド
62,941,ぼっち同盟
63,930,とれっきんぐ
64,925,お笑い?研究府
65,925,★愉快な仲間達☆
66,924,Buzz?
67,921,ファンタビーチ
68,917,ブルーウィング
69,917,ひろす
70,914,?アンシェル?
71,911,パンダ百匹！！
72,910,佐久間上水
73,909,BestLuck
74,908,遊戯都市第七地区
75,908,同じ穴のぷよら～
76,892,Ｋ２
77,890,チームかわいい
78,890,ちょびぎるど
79,889,祝！ＳＳあひる組
80,886,手製ぷよ
81,886,ぷよっとパニック
82,877,うさぎの巣?
83,872,チームかつをぶし
84,871,Gunners!
85,871,?KoB?
86,869,ウィッチ魔法学院
87,869,トウーンタウン
88,868,☆マーロボカフェ
89,867,ラフィ亭
90,861,let&#039;sぷよ！
91,858,みなとみらい
92,857,早起は三文のとく
93,856,猫好き仙人界
94,850,???☆
95,849,AGILE
96,846,六猫?おーき軍
97,840,Blackチョコ
98,839,陽だまりのねこ?
99,838,ジュビレーション
100,836,パーミテーション
101,835,コンパイルクラブ
102,832,ぐみぷよ
103,831,SPIRAL★彡
104,831,エランド
105,823,お腹@ばよ?支店
106,817,すたんどあっぷ
107,814,まったり勢。
108,802,TEREON&#039;s
109,802,ぷよく鉛筆?HB
