,2015/11/12 17:45:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1071,Dizzy?
2,1033,Mumin谷??
3,924,トムソン??
4,885,Ra?ffine
5,836,☆☆ながれ星彡
6,814,上位目指す隊?
7,781,ばよえ?ん。
8,780,さんらいず??
9,758,†とわいらいと†
10,751,嵐山
11,732,早乙女学園?
12,728,さんせっと??
13,717,えすぽらーず
14,708,まるむすてぃ?ん
15,700,?いちごぷよ隊?
16,700,RedbuII?
17,674,かもみ～るかふぇ
18,661,tipo
19,649,谷口ぴーまん
20,643,赤い妖精
21,634,カーバンクル
22,618,?Ｃlair?
23,618,たいようのほこら
24,614,淡麗生!!
25,610,からあげ流星群
26,609,Antenna
27,607,MYM318☆彡
28,598,ぴんぽーん
29,596,ミッドガルド?
30,586,かおりワールド
31,585,ねこたらんど
32,579,LovE?
33,577,だらゴロ・囚・
34,571,ぷよビ～ッチ☆
35,567,一生を寝てい隊
36,565,無課金こそ愉悦!
37,565,プリンシパル☆彡
38,564,いえろ～こんび♪
39,562,V.I.P.
40,560,Law@
41,559,?怪盗スケルトン
42,559,ねこぽよ軍??
43,558,Lαvｉn&#039;υ?
44,557,にゃ?んだふる♪
45,555,にないか
46,555,ももピーチ帝国
47,552,Luxillia
48,551,†魔導学校†
49,550,☆命蓮寺☆
50,544,Buzz?
51,543,ねこずき
52,542,★愉快な仲間達☆
53,541,ＢＢ団
54,537,ぷよクエ楽しみ隊
55,534,やわらかギルド
56,533,賢者モード
57,530,★エーミール★
58,530,果物の缶詰
59,529,チームかつをぶし
60,527,ぷよろう会
61,525,お笑い?研究府
62,523,ちょびぎるど
63,521,ぼっち同盟
64,515,かわいいはせいぎ
65,515,ぷよっとパニック
66,514,自由都市ももにち
67,510,?アンシェル?
68,509,同じ穴のぷよら～
69,503,?KoB?
70,503,とれっきんぐ
71,503,佐久間上水
72,502,BestLuck
73,501,無KG板ギルド
74,501,2chスレギルド
75,500,お腹@ばよ?支店
76,499,ラフィ亭
77,499,みなみけ
78,499,コンパイルクラブ
79,498,パンダ百匹！！
80,497,ブルーウィング
81,495,ぁひるたいちょ組
82,494,遊戯都市第七地区
83,494,ウィッチ魔法学院
84,493,ファンタビーチ
85,493,エランド
86,491,トウーンタウン
87,491,陽だまりのねこ?
88,489,うさぎの巣?
89,487,Ｋ２
90,487,Gunners!
91,487,Blackチョコ
92,483,let&#039;sぷよ！
93,482,六猫?おーき軍
94,480,猫好き仙人界
95,480,ひろす
96,478,ジュビレーション
97,473,パーミテーション
98,473,ギルド一ナツ
99,473,みなとみらい
100,471,チームかわいい
101,469,ねこのうにメロン
102,469,COLORS＊*
103,468,☆ネコカフェ☆
104,466,早起は三文のとく
105,462,SPIRAL★彡
106,462,???☆
107,462,ぷよく鉛筆?HB
108,459,TEREON&#039;s
109,457,手製ぷよ
110,457,ぷよよよよよん?
111,456,まったり勢。
112,455,けにくら！祝LS
113,453,すたんどあっぷ
