,2015/11/11 15:48:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,109,Dizzy?
2,102,Mumin谷??
3,96,Ra?ffine
4,95,☆☆ながれ星彡
5,93,トムソン??
6,91,さんせっと??
7,86,えすぽらーず
8,83,RedbuII?
9,83,さんらいず??
10,83,ばよえ?ん。
11,82,?いちごぷよ隊?
12,82,tipo
13,81,上位目指す隊?
14,80,†とわいらいと†
15,79,嵐山
16,79,淡麗生!!
17,78,谷口ぴーまん
18,77,?Ｃlair?
19,77,Lαvｉn&#039;υ?
20,75,かおりワールド
21,75,Antenna
22,74,カーバンクル
23,74,†魔導学校†
24,73,たいようのほこら
25,73,かもみ～るかふぇ
26,73,早乙女学園?
27,72,パンダ百匹！！
28,72,MYM318☆彡
29,71,V.I.P.
30,71,赤い妖精
31,71,まるむすてぃ?ん
32,71,いえろ～こんび♪
33,70,ジュビレーション
34,70,★エーミール★
35,70,早起は三文のとく
36,70,ねこのうにメロン
37,70,自由都市ももにち
38,70,?怪盗スケルトン
39,70,ミッドガルド?
40,70,ギルド一ナツ
41,69,コンパイルクラブ
42,69,ねこたらんど
43,69,Lipton　
44,69,ももピーチ帝国
45,69,陽だまりのねこ?
46,69,ぷよクエ楽しみ隊
47,69,ぴんぽーん
48,69,だらゴロ・囚・
49,69,同じ穴のぷよら～
50,68,ＢＢ団
51,68,チームかつをぶし
52,68,☆命蓮寺☆
53,67,にゃ?んだふる♪
54,67,ぷよビ～ッチ☆
55,67,ぷよろう会
56,67,お笑い?研究府
57,66,ぷよります会☆
58,66,ブルーウィング
59,66,トウーンタウン
60,66,一生を寝てい隊
61,65,チーム〆SD〆
62,65,無課金こそ愉悦!
63,65,?KoB?
64,65,ぷよよよよよん?
65,65,果物の缶詰
66,64,ボギャーン
67,64,ぁひるたいちょ組
68,64,からあげ流星群
69,64,ファンタビーチ
70,64,LovE?
71,64,ぷよっとパニック
72,64,SPIRAL★彡
73,64,Law@
74,64,ラフィ亭
75,63,LTE?
76,63,Luxillia
77,63,エランド
78,63,★愉快な仲間達☆
79,63,るりあん♪
80,63,無KG板ギルド
81,63,ちょびぎるど
82,63,ねこずき
83,63,ぷよく鉛筆?HB
84,63,六猫?おーき軍
85,63,あるぱっか牧場
86,63,遊戯都市第七地区
87,63,Blackチョコ
88,63,プリンシパル☆彡
89,63,ぷよりすと♪
90,63,妖精投入禁止
91,63,Buzz?
92,63,?アンシェル?
93,63,?水守革命?
94,62,賢者モード
95,62,Tぷよ軍団
96,62,チビコロ☆
97,62,ぼっち同盟
98,62,?地獄の3丁目?
99,62,魔神宮
100,61,北の大地☆人情派
101,61,will
102,61,とれっきんぐ
103,61,ぷよよん同盟
104,61,☆ぷよザイル☆
105,61,ひろす
106,61,ArcadiA
107,60,グラン・シャリオ
108,60,TEREON&#039;s
109,60,やわらかギルド
110,60,佐久間上水
111,60,Gunners!
112,60,みんなでぷよぷよ
113,60,コスモツリー
